date,image_id,cloud_percentage,ndvi_mean,ndwi_mean,ndmi_mean,ndre_mean,latitude,longitude,buffer_m
2025-01-07,20250107T051119_20250107T051747_T44PKV,18.027227,0.4570177642376114,-0.4504546162928411,0.006093307481691381,0.28229756370210857,13.294219,78.624294,500
2025-01-07,20250107T051119_20250107T051747_T43PHQ,12.041314,0.4546302612900756,-0.44909140413068194,0.0064742618115629464,0.2842748429977292,13.294219,78.624294,500
2025-01-12,20250112T051151_20250112T052421_T43PHQ,6.121051,0.5078233293843154,-0.5265691744374611,-0.04943711679383169,0.29916078719782174,13.294219,78.624294,500
2025-01-22,20250122T051151_20250122T051918_T43PHQ,19.786507,0.460826220869667,-0.48503147726758944,-0.085802932658296,0.24870197126596533,13.294219,78.624294,500
2025-01-27,20250127T051009_20250127T052104_T44PKV,4.166788,0.4419679488249517,-0.490541381305117,-0.0819141482959165,0.28655508368381666,13.294219,78.624294,500
2025-01-27,20250127T051009_20250127T052104_T43PHQ,0.179412,0.44033063184366195,-0.49023377404520885,-0.08164822656446603,0.2860192540201631,13.294219,78.624294,500
2025-02-01,20250201T051101_20250201T052343_T44PKV,15.844555,0.3929061773120869,-0.45786159708008595,-0.11508268633626742,0.22297655926203028,13.294219,78.624294,500
2025-02-01,20250201T051101_20250201T052343_T43PHQ,9.494909,0.3967258809082116,-0.466015987558297,-0.11539136340358923,0.22466436099858256,13.294219,78.624294,500
2025-02-06,20250206T050909_20250206T052454_T44PKV,0.263025,0.3760986996073864,-0.46107343554512137,-0.13518763851052756,0.24025608884962082,13.294219,78.624294,500
2025-02-06,20250206T050909_20250206T052454_T43PHQ,0.000212,0.3772345698271482,-0.46486892232175003,-0.1355618496239741,0.24099676721922753,13.294219,78.624294,500
2025-02-11,20250211T051001_20250211T052056_T44PKV,0.000428,0.3621127829127539,-0.4557840710790961,-0.1337110031069233,0.21681975429765973,13.294219,78.624294,500
2025-02-11,20250211T051001_20250211T052056_T43PHQ,0.001155,0.3623427079960223,-0.4583555745698885,-0.1333248757496107,0.2174282426901871,13.294219,78.624294,500
2025-02-16,20250216T050809_20250216T052111_T43PHQ,0.000478,0.33202716856299064,-0.43388289077329545,-0.15091521718047,0.21266210095957375,13.294219,78.624294,500
2025-02-16,20250216T050809_20250216T052111_T44PKV,0.000368,0.33103397623666186,-0.43098351681076835,-0.1505019025136074,0.21233760829676446,13.294219,78.624294,500
2025-02-21,20250221T050851_20250221T052428_T44PKV,0.501385,0.3094561088422402,-0.41592316571374227,-0.16750594141886513,0.17636713433629644,13.294219,78.624294,500
2025-02-21,20250221T050851_20250221T052428_T43PHQ,2.7e-05,0.3098877141312811,-0.41829960918959,-0.16717594103283337,0.17681732130851305,13.294219,78.624294,500
2025-02-26,20250226T050659_20250226T051939_T44PKV,1.643847,0.30210518376267465,-0.4200288162123582,-0.17095164877308833,0.18469966846132274,13.294219,78.624294,500
2025-02-26,20250226T050659_20250226T051939_T43PHQ,0.010584,0.3011390335678698,-0.4204754755291427,-0.17147771113116392,0.18483173588706156,13.294219,78.624294,500
2025-03-08,20250308T050659_20250308T051834_T44PKV,0.000143,0.29175806998988635,-0.4112896674709569,-0.16167382866324298,0.1910392254832103,13.294219,78.624294,500
2025-03-08,20250308T050659_20250308T051834_T43PHQ,2e-05,0.2857837068426808,-0.39958280389064205,-0.16227385016414883,0.1881945013259982,13.294219,78.624294,500
2025-03-13,20250313T050711_20250313T052339_T44PKV,3.818478,0.2870623916633776,-0.4171386944546353,-0.1652551613236231,0.16909118118382138,13.294219,78.624294,500
2025-03-13,20250313T050711_20250313T052339_T43PHQ,11.960063,0.2879693471000915,-0.42045732626023435,-0.1654983083141643,0.16982427597078745,13.294219,78.624294,500
2025-03-15,20250315T051241_20250315T051235_T44PKV,0.001118,0.2860603239328029,-0.4075503688102925,-0.16172722560859254,0.17883369658610748,13.294219,78.624294,500
2025-03-15,20250315T051241_20250315T051235_T43PHQ,0.000173,0.28712457601267644,-0.4115222973230897,-0.16228047576837476,0.1792107599023232,13.294219,78.624294,500
2025-03-28,20250328T050659_20250328T052423_T43PHQ,14.34065,0.27646028132220823,-0.3968090691876375,-0.1742208298602071,0.174441144203207,13.294219,78.624294,500
2025-03-28,20250328T050659_20250328T052423_T44PKV,15.133467,0.2804226886373171,-0.40483873129739373,-0.1746985978914867,0.1763092661269994,13.294219,78.624294,500
2025-04-02,20250402T050711_20250402T051843_T44PKV,8.354826,0.2444461053134309,-0.3514201102484861,-0.16838119655990932,0.1352587189889451,13.294219,78.624294,500
2025-04-02,20250402T050711_20250402T051843_T43PHQ,5.870508,0.24668813095359135,-0.35922210045719094,-0.16679925762053496,0.13663977992977933,13.294219,78.624294,500
2025-04-07,20250407T050649_20250407T051452_T44PKV,2.095166,0.2871487481410506,-0.398733798035322,-0.1854457096200993,0.1802349374876468,13.294219,78.624294,500
2025-04-07,20250407T050649_20250407T051452_T43PHQ,0.478193,0.2909035558393201,-0.40868787758324504,-0.18597109768936557,0.18155429351104616,13.294219,78.624294,500
2025-04-12,20250412T050711_20250412T051838_T44PKV,3.625996,0.2691200691989682,-0.38660272524969647,-0.19711522474263543,0.15192551555663186,13.294219,78.624294,500
2025-04-12,20250412T050711_20250412T051838_T43PHQ,0.084283,0.2692580327300687,-0.38774818549631984,-0.19648598341172596,0.15229105958042938,13.294219,78.624294,500
2025-04-17,20250417T050659_20250417T051410_T44PKV,2.062007,0.3059289119239816,-0.41485362006527987,-0.16627726512083923,0.18568342329603943,13.294219,78.624294,500
2025-04-17,20250417T050659_20250417T051410_T43PHQ,0.285291,0.3026185329397259,-0.40834452013830813,-0.1666930833728857,0.18358816346950924,13.294219,78.624294,500
2025-04-22,20250422T050711_20250422T051846_T44PKV,1.509876,0.3336099551270633,-0.42233430490853274,-0.1397712006579774,0.189105391669267,13.294219,78.624294,500
2025-04-22,20250422T050711_20250422T051846_T43PHQ,0.79024,0.3318842808099291,-0.4184902208208067,-0.1398005914837751,0.18861075563329918,13.294219,78.624294,500
2025-04-24,20250424T051241_20250424T051722_T43PHQ,4.674629,0.333013902465014,-0.4129812385779593,-0.13296374752881143,0.20608991544034888,13.294219,78.624294,500
2025-04-24,20250424T051241_20250424T051722_T44PKV,5.999818,0.3332842568590587,-0.41300572288417703,-0.1329024297899042,0.20583201525808434,13.294219,78.624294,500
2025-05-07,20250507T050659_20250507T052444_T44PKV,19.011015,0.34392968065224805,-0.42157262820593266,-0.10731134173855192,0.22390326004452527,13.294219,78.624294,500
2025-05-07,20250507T050659_20250507T052444_T43PHQ,10.814165,0.3388084703239872,-0.4125122041102682,-0.10850248410393554,0.22144388309895824,13.294219,78.624294,500
2025-05-12,20250512T050711_20250512T051730_T44PKV,6.559507,0.2952044992179524,-0.27536221531367266,0.0238304468878132,0.16130655065371155,13.294219,78.624294,500
2025-05-12,20250512T050711_20250512T051730_T43PHQ,4.450974,0.30359142599641137,-0.28095734793376914,0.023718858048082256,0.16795490738068677,13.294219,78.624294,500
2025-06-01,20250601T050711_20250601T052330_T44PKV,5.727167,0.4832677668865066,-0.4876859966701518,0.03240637438877974,0.2782435465088866,13.294219,78.624294,500
2025-06-01,20250601T050711_20250601T052330_T43PHQ,8.781175,0.48364955937729226,-0.4887079684150462,0.032786502779506135,0.27863311364787385,13.294219,78.624294,500
2025-06-06,20250606T050649_20250606T052442_T44PKV,13.738495,0.46901245408328895,-0.47804011977994326,0.03778302640482476,0.29205216008777213,13.294219,78.624294,500
2025-11-10,20251110T051241_20251110T052258_T44PKV,0.688272,0.6053654825273121,-0.5611410715709556,0.13011540858200785,0.36371942152501635,13.294219,78.624294,500
2025-11-10,20251110T051241_20251110T052258_T43PHQ,3.256097,0.6003843854088463,-0.5574885756105132,0.12969220271856538,0.36237123100703367,13.294219,78.624294,500
2025-12-08,20251208T051221_20251208T052226_T44PKV,15.4447,0.57084739433229,-0.5446388558711376,0.055563022352999834,0.3189875615022595,13.294219,78.624294,500
2025-12-08,20251208T051221_20251208T052226_T43PHQ,0.086022,0.5575660129309618,-0.5304228352008615,0.05576722179477705,0.31462600078750197,13.294219,78.624294,500
2025-12-13,20251213T051119_20251213T052354_T43PHQ,0.07359,0.5620045391708105,-0.5539819972767113,0.07016333139993043,0.37363550057360656,13.294219,78.624294,500
2025-12-13,20251213T051119_20251213T052354_T44PKV,0.13915,0.563210872638567,-0.5532110341186415,0.071112910781574,0.3740209577142661,13.294219,78.624294,500
2025-12-20,20251220T051241_20251220T051243_T44PKV,18.069203,0.531578120422586,-0.5359597956822698,0.0371456331755789,0.3278514466460729,13.294219,78.624294,500
