date,mango_stage,constant_kc,phenology_kc,constant_et0,phenology_et0,constant_etc,phenology_etc,etc_difference,etc_percent_difference,constant_root_zone_depletion,phenology_root_zone_depletion,depletion_difference,constant_ks,phenology_ks,ks_difference,constant_water_stress_level,phenology_water_stress_level,stress_level_changed
2025-01-01,Flowering,0.75,0.75,2.86351322851447,2.86351322851447,2.1476349213858525,2.1476349213858525,0.0,0.0,2.1476349213858525,2.1476349213858525,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-02,Flowering,0.75,0.75,2.8184980459671167,2.8184980459671167,2.1138735344753377,2.1138735344753377,0.0,0.0,4.26150845586119,4.26150845586119,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-03,Flowering,0.75,0.75,3.0334477549137087,3.0334477549137087,2.2750858161852814,2.2750858161852814,0.0,0.0,6.536594272046472,6.536594272046472,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-04,Flowering,0.75,0.75,3.0615739229514864,3.0615739229514864,2.2961804422136147,2.2961804422136147,0.0,0.0,8.832774714260086,8.832774714260086,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-05,Flowering,0.75,0.75,2.962278774199616,2.962278774199616,2.221709080649712,2.221709080649712,0.0,0.0,11.054483794909798,11.054483794909798,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-06,Flowering,0.75,0.75,3.1639633589055056,3.1639633589055056,2.3729725191791293,2.3729725191791293,0.0,0.0,13.427456314088928,13.427456314088928,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-07,Flowering,0.75,0.75,3.187701601339374,3.187701601339374,2.3907762010045306,2.3907762010045306,0.0,0.0,15.818232515093458,15.818232515093458,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-08,Flowering,0.75,0.75,3.1367888154124164,3.1367888154124164,2.3525916115593124,2.3525916115593124,0.0,0.0,18.17082412665277,18.17082412665277,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-09,Flowering,0.75,0.75,2.603669628895951,2.603669628895951,1.9527522216719635,1.9527522216719635,0.0,0.0,20.123576348324736,20.123576348324736,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-10,Flowering,0.75,0.75,2.309396327794232,2.309396327794232,1.7320472458456742,1.7320472458456742,0.0,0.0,21.84562359417041,21.84562359417041,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-11,Flowering,0.75,0.75,1.941845246753734,1.941845246753734,1.4563839350653005,1.4563839350653005,0.0,0.0,23.30200752923571,23.30200752923571,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-12,Flowering,0.75,0.75,3.2159076234363204,3.2159076234363204,2.41193071757724,2.41193071757724,0.0,0.0,25.523938246812943,25.523938246812943,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-13,Flowering,0.75,0.75,2.426231694164527,2.426231694164527,1.8196737706233956,1.8196737706233956,0.0,0.0,25.42361201743634,25.42361201743634,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-14,Flowering,0.75,0.75,2.4988484602588144,2.4988484602588144,1.8741363451941109,1.8741363451941109,0.0,0.0,26.94774836263045,26.94774836263045,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-15,Flowering,0.75,0.75,2.7263735769181907,2.7263735769181907,2.044780182688643,2.044780182688643,0.0,0.0,28.992528545319093,28.992528545319093,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-16,Flowering,0.75,0.75,2.969815656313819,2.969815656313819,2.227361742235364,2.227361742235364,0.0,0.0,31.219890287554456,31.219890287554456,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-17,Flowering,0.75,0.75,2.488103881762937,2.488103881762937,1.8660779113222032,1.8660779113222032,0.0,0.0,33.08596819887666,33.08596819887666,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-18,Flowering,0.75,0.75,3.088397713795228,3.088397713795228,2.316298285346421,2.316298285346421,0.0,0.0,33.06226648422308,33.06226648422308,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-19,Flowering,0.75,0.75,1.6655362876012398,1.6655362876012398,1.2491522157009298,1.2491522157009298,0.0,0.0,26.40141869992401,26.40141869992401,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-20,Flowering,0.75,0.75,3.35194944748536,3.35194944748536,2.51396208561402,2.51396208561402,0.0,0.0,28.83538078553803,28.83538078553803,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-21,Flowering,0.75,0.75,3.4752761166877004,3.4752761166877004,2.6064570875157758,2.6064570875157758,0.0,0.0,31.441837873053807,31.441837873053807,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-22,Flowering,0.75,0.75,3.548282304760205,3.548282304760205,2.661211728570154,2.661211728570154,0.0,0.0,34.10304960162396,34.10304960162396,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-23,Flowering,0.75,0.75,3.693964264198139,3.693964264198139,2.770473198148604,2.770473198148604,0.0,0.0,36.87352279977256,36.87352279977256,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-24,Flowering,0.75,0.75,3.66544364898833,3.66544364898833,2.749082736741248,2.749082736741248,0.0,0.0,39.62260553651381,39.62260553651381,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-25,Flowering,0.75,0.75,3.766422092236088,3.766422092236088,2.824816569177066,2.824816569177066,0.0,0.0,42.44742210569088,42.44742210569088,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-26,Flowering,0.75,0.75,4.0780375280541605,4.0780375280541605,3.0585281460406204,3.0585281460406204,0.0,0.0,45.5059502517315,45.5059502517315,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-27,Flowering,0.75,0.75,3.776927392124862,3.776927392124862,2.8326955440936468,2.8326955440936468,0.0,0.0,48.33864579582514,48.33864579582514,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-28,Flowering,0.75,0.75,3.6713007100144535,3.6713007100144535,2.75347553251084,2.75347553251084,0.0,0.0,51.09212132833599,51.09212132833599,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-29,Flowering,0.75,0.75,3.99223440675898,3.99223440675898,2.994175805069234,2.994175805069234,0.0,0.0,54.08629713340522,54.08629713340522,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-30,Flowering,0.75,0.75,4.008913499129543,4.008913499129543,3.006685124347157,3.006685124347157,0.0,0.0,57.092982257752375,57.092982257752375,0.0,1.0,1.0,0.0,Low,Low,False
2025-01-31,Flowering,0.75,0.75,4.156712731524224,4.156712731524224,3.1175345486431683,3.1175345486431683,0.0,0.0,60.210516806395546,60.210516806395546,0.0,1.0,1.0,0.0,Low,Low,False
2025-02-01,Flowering,0.75,0.75,4.331840370670495,4.331840370670495,3.248880278002871,3.248880278002871,0.0,0.0,63.45939708439842,63.45939708439842,0.0,1.0,1.0,0.0,Low,Low,False
2025-02-02,Flowering,0.75,0.75,4.567208475714172,4.567208475714172,3.425406356785629,3.425406356785629,0.0,0.0,66.88480344118405,66.88480344118405,0.0,1.0,1.0,0.0,Low,Low,False
2025-02-03,Flowering,0.75,0.75,4.925582030850202,4.925582030850202,3.694186523137652,3.694186523137652,0.0,0.0,70.57898996432169,70.57898996432169,0.0,1.0,1.0,0.0,Low,Low,False
2025-02-04,Flowering,0.75,0.75,5.020208576280714,5.020208576280714,3.765156432210536,3.765156432210536,0.0,0.0,74.34414639653222,74.34414639653222,0.0,1.0,1.0,0.0,Low,Low,False
2025-02-05,Flowering,0.75,0.75,4.898545482324547,4.898545482324547,3.67390911174341,3.67390911174341,0.0,0.0,78.01805550827564,78.01805550827564,0.0,0.9712648731846566,0.9712648731846566,0.0,Low,Low,False
2025-02-06,Flowering,0.75,0.75,4.473697703906467,4.473697703906467,3.35527327792985,3.35527327792985,0.0,0.0,81.37332878620549,81.37332878620549,0.0,0.9270227107956548,0.9270227107956548,0.0,Low,Low,False
2025-02-07,Flowering,0.75,0.75,4.535981041166701,4.535981041166701,3.401985780875026,3.401985780875026,0.0,0.0,84.77531456708051,84.77531456708051,0.0,0.8821646039008829,0.8821646039008829,0.0,Medium,Medium,False
