date,et0_mm,etc_mm,rainfall_mm,root_zone_depletion_mm,taw_mm,raw_mm,water_stress_coefficient_ks,water_stress_level
2025-01-01,2.86351322851447,2.1476349213858525,0.0,2.1476349213858525,151.67763494145714,75.83881747072857,1.0,Low
2025-01-02,2.8184980459671167,2.1138735344753377,0.0,4.26150845586119,151.67763494145714,75.83881747072857,1.0,Low
2025-01-03,3.0334477549137087,2.2750858161852814,0.0,6.536594272046472,151.67763494145714,75.83881747072857,1.0,Low
2025-01-04,3.0615739229514864,2.2961804422136147,0.0,8.832774714260086,151.67763494145714,75.83881747072857,1.0,Low
2025-01-05,2.962278774199616,2.221709080649712,0.0,11.054483794909798,151.67763494145714,75.83881747072857,1.0,Low
2025-01-06,3.1639633589055056,2.3729725191791293,0.0,13.427456314088927,151.67763494145714,75.83881747072857,1.0,Low
2025-01-07,3.187701601339374,2.3907762010045306,0.0,15.818232515093458,151.67763494145714,75.83881747072857,1.0,Low
2025-01-08,3.1367888154124164,2.3525916115593124,0.0,18.17082412665277,151.67763494145714,75.83881747072857,1.0,Low
2025-01-09,2.603669628895951,1.9527522216719633,0.0,20.123576348324736,151.67763494145714,75.83881747072857,1.0,Low
2025-01-10,2.309396327794232,1.7320472458456742,0.01,21.84562359417041,151.67763494145714,75.83881747072857,1.0,Low
2025-01-11,1.941845246753734,1.4563839350653005,0.0,23.30200752923571,151.67763494145714,75.83881747072857,1.0,Low
2025-01-12,3.2159076234363204,2.41193071757724,0.19,25.523938246812946,151.67763494145714,75.83881747072857,1.0,Low
2025-01-13,2.426231694164527,1.8196737706233954,1.92,25.42361201743634,151.67763494145714,75.83881747072857,1.0,Low
2025-01-14,2.4988484602588144,1.8741363451941107,0.35,26.94774836263045,151.67763494145714,75.83881747072857,1.0,Low
2025-01-15,2.7263735769181907,2.044780182688643,0.0,28.992528545319093,151.67763494145714,75.83881747072857,1.0,Low
2025-01-16,2.969815656313819,2.227361742235364,0.0,31.219890287554456,151.67763494145714,75.83881747072857,1.0,Low
2025-01-17,2.4881038817629375,1.8660779113222032,0.0,33.08596819887666,151.67763494145714,75.83881747072857,1.0,Low
2025-01-18,3.088397713795228,2.316298285346421,2.34,33.06226648422308,151.67763494145714,75.83881747072857,1.0,Low
2025-01-19,1.6655362876012398,1.2491522157009298,7.91,26.40141869992401,151.67763494145714,75.83881747072857,1.0,Low
2025-01-20,3.3519494474853597,2.5139620856140197,0.08,28.83538078553803,151.67763494145714,75.83881747072857,1.0,Low
2025-01-21,3.4752761166877004,2.6064570875157753,0.0,31.441837873053807,151.67763494145714,75.83881747072857,1.0,Low
2025-01-22,3.5482823047602055,2.661211728570154,0.0,34.10304960162396,151.67763494145714,75.83881747072857,1.0,Low
2025-01-23,3.693964264198139,2.770473198148604,0.0,36.87352279977256,151.67763494145714,75.83881747072857,1.0,Low
2025-01-24,3.66544364898833,2.7490827367412476,0.0,39.62260553651381,151.67763494145714,75.83881747072857,1.0,Low
2025-01-25,3.766422092236088,2.824816569177066,0.0,42.447422105690876,151.67763494145714,75.83881747072857,1.0,Low
2025-01-26,4.0780375280541605,3.0585281460406204,0.0,45.5059502517315,151.67763494145714,75.83881747072857,1.0,Low
2025-01-27,3.776927392124862,2.8326955440936468,0.0,48.338645795825144,151.67763494145714,75.83881747072857,1.0,Low
2025-01-28,3.6713007100144535,2.75347553251084,0.0,51.092121328335985,151.67763494145714,75.83881747072857,1.0,Low
2025-01-29,3.9922344067589797,2.9941758050692346,0.0,54.08629713340522,151.67763494145714,75.83881747072857,1.0,Low
2025-01-30,4.008913499129543,3.006685124347157,0.0,57.092982257752375,151.67763494145714,75.83881747072857,1.0,Low
2025-01-31,4.156712731524224,3.1175345486431683,0.0,60.210516806395546,151.67763494145714,75.83881747072857,1.0,Low
2025-02-01,4.331840370670495,3.248880278002871,0.0,63.45939708439842,151.67763494145714,75.83881747072857,1.0,Low
2025-02-02,4.567208475714172,3.425406356785629,0.0,66.88480344118405,151.67763494145714,75.83881747072857,1.0,Low
2025-02-03,4.925582030850202,3.6941865231376516,0.0,70.57898996432169,151.67763494145714,75.83881747072857,1.0,Low
2025-02-04,5.020208576280714,3.7651564322105355,0.0,74.34414639653222,151.67763494145714,75.83881747072857,1.0,Low
2025-02-05,4.898545482324547,3.67390911174341,0.0,78.01805550827564,151.67763494145714,75.83881747072857,0.9712648731846566,Low
2025-02-06,4.473697703906467,3.35527327792985,0.0,81.37332878620549,151.67763494145714,75.83881747072857,0.9270227107956547,Low
2025-02-07,4.535981041166701,3.401985780875026,0.0,84.77531456708051,151.67763494145714,75.83881747072857,0.8821646039008829,Medium
2025-02-08,4.4769101546112715,3.3576826159584536,0.0,88.13299718303897,151.67763494145714,75.83881747072857,0.8378906723188878,Medium
2025-02-09,4.248688202970418,3.1865161522278136,0.0,91.31951333526678,151.67763494145714,75.83881747072857,0.7958737176972297,Medium
2025-02-10,4.069270661493275,3.0519529961199563,0.0,94.37146633138673,151.67763494145714,75.83881747072857,0.7556310939604091,Medium
2025-02-11,4.761328431245868,3.570996323434401,0.0,97.94246265482113,151.67763494145714,75.83881747072857,0.7085444377791904,Medium
2025-02-12,5.098753589060288,3.824065191795216,0.0,101.76652784661634,151.67763494145714,75.83881747072857,0.6581208510286297,Medium
2025-02-13,5.41213767525509,4.059103256441317,0.0,105.82563110305766,151.67763494145714,75.83881747072857,0.6045980853551275,Medium
2025-02-14,5.232486911968277,3.9243651839762075,0.0,109.74999628703387,151.67763494145714,75.83881747072857,0.5528519569889924,High
2025-02-15,5.075684581819792,3.806763436364844,0.0,113.55675972339871,151.67763494145714,75.83881747072857,0.5026565087565072,High
2025-02-16,5.088765046801322,3.8165737851009918,0.0,117.3733335084997,151.67763494145714,75.83881747072857,0.4523317026428826,High
2025-02-17,5.132518675895167,3.849389006921375,0.0,121.22272251542107,151.67763494145714,75.83881747072857,0.40157419962133145,High
2025-02-18,5.211265221633299,3.9084489162249745,0.0,125.13117143164604,151.67763494145714,75.83881747072857,0.3500379409272463,High
2025-02-19,5.395836094166929,4.046877070625197,0.0,129.17804850227122,151.67763494145714,75.83881747072857,0.2966763880234559,High
2025-02-20,5.306138095147824,3.979603571360868,0.0,133.15765207363208,151.67763494145714,75.83881747072857,0.2442018940362988,High
2025-02-21,5.028754926534727,3.7715661949010455,0.0,136.92921826853313,151.67763494145714,75.83881747072857,0.1944705516883414,High
2025-02-22,5.27475561752034,3.9560667131402547,0.0,140.88528498167338,151.67763494145714,75.83881747072857,0.14230641140929282,High
2025-02-23,5.824036369438427,4.36802727707882,0.0,145.2533122587522,151.67763494145714,75.83881747072857,0.08471021697014895,High
2025-02-24,5.709248162810987,4.28193612210824,0.0,149.53524838086045,151.67763494145714,75.83881747072857,0.028249208413931106,High
2025-02-25,5.244186665491952,3.933139999118964,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-02-26,5.302939036727996,3.9772042775459973,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-02-27,5.080920573088136,3.810690429816102,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-02-28,5.318454064098408,3.9888405480738065,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-01,5.3263067023396005,3.9947300267547003,0.01,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-02,5.785333580419048,4.339000185314286,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-03,6.12156469709447,4.591173522820853,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-04,6.151477734706684,4.613608301030013,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-05,6.132241483510367,4.599181112632776,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-06,6.7738101013145835,5.080357575985937,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-07,6.787988964165569,5.090991723124176,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-08,6.584620075221544,4.938465056416158,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-09,6.388143688060839,4.791107766045629,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-10,6.0161755472458225,4.512131660434367,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-11,5.418422255295085,4.063816691471314,0.89,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-12,5.757074189870215,4.317805642402661,0.32,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-13,6.672089470028593,5.004067102521445,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-14,7.016675664776271,5.262506748582203,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-15,7.018241020208336,5.263680765156252,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-16,6.962304782592818,5.2217285869446135,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-17,6.710253564402359,5.03269017330177,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-18,6.9438413594564095,5.207881019592307,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-19,7.431877661134779,5.573908245851085,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-20,7.717592561115797,5.788194420836848,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-21,7.03988746145844,5.279915596093829,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-22,5.521188745639796,4.140891559229846,1.35,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-23,5.423116943712343,4.067337707784257,1.35,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-24,6.7779331586802325,5.083449869010174,0.01,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-25,6.808080213120238,5.106060159840179,0.01,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-26,7.349857356901485,5.512393017676114,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-27,6.866340700059653,5.14975552504474,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-28,7.509498964512957,5.632124223384718,0.01,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-29,8.007875121733067,6.0059063412998,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-30,7.933958508807418,5.9504688816055635,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-03-31,7.337301624426124,5.502976218319593,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-01,6.6823383274958745,5.011753745621906,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-02,6.258521707864673,4.693891280898504,0.02,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-03,5.30718274411277,3.9803870580845775,6.95,148.70802199954173,151.67763494145714,75.83881747072857,0.039156899341970794,High
2025-04-04,6.175713596336092,4.631785197252069,0.91,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-05,6.263382844355441,4.6975371332665805,1.68,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-06,6.609964615984422,4.957473461988316,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-07,7.416412708066543,5.562309531049907,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-08,7.014911014011468,5.261183260508601,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-09,6.988295181100905,5.241221385825678,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-10,6.139929066073284,4.604946799554963,0.78,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-11,7.328569480548419,5.4964271104113145,2.5,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-12,6.66586408643399,4.999398064825492,6.14,150.53703300628266,151.67763494145714,75.83881747072857,0.01503981698573721,High
2025-04-13,5.652044718197221,4.239033538647916,3.17,151.60606654493057,151.67763494145714,75.83881747072857,0.0009436908289636204,High
2025-04-14,6.110546987444286,4.582910240583214,0.85,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-15,6.480369824062174,4.8602773680466305,0.65,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-16,5.719343562752505,4.289507672064379,4.54,151.42714261352154,151.67763494145714,75.83881747072857,0.003302956669020924,High
2025-04-17,6.12144786460341,4.591085898452557,0.18,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-18,5.534011350771999,4.150508513078999,0.01,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-19,6.85968447585415,5.144763356890612,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-20,6.707977812061414,5.03098335904606,0.5,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-21,6.635068436238743,4.9763013271790575,0.01,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-22,7.9511329670656705,5.963349725299253,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-23,8.244707499269733,6.1835306244523,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-24,8.159979967421185,6.119984975565888,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-25,7.953865414492387,5.96539906086929,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-26,7.312716042464293,5.48453703184822,0.01,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-27,7.483391587842792,5.612543690882094,0.16,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-28,7.555063844814715,5.666297883611036,0.83,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-29,7.579881354987615,5.6849110162407115,0.0,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-04-30,7.262939188428028,5.447204391321021,0.01,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-05-01,6.4726103692003845,4.854457776900288,2.43,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
2025-05-02,6.783845128967745,5.087883846725809,1.92,151.67763494145714,151.67763494145714,75.83881747072857,0.0,High
